Name,Area_Loc_time,Price,Area,City,time
HP ELITBOOK 830 G5 CORE i5 8th gen 8GB 256GB SSD A grad fresh stock,"Saddar, Karachi•6 days ago","Rs 68,000",Saddar, Karachi,6 days ago
"MacBook Pro 2017 13""Ratina Display,Core i5,8GB RAM 256GB SSD","Valencia Town, Lahore•2 weeks ago","Rs 120,000",Valencia Town, Lahore,2 weeks ago
Lenovo T470 Core i 7 6th Gen Laptop 8GB-256 Backlit-FHD/HAROON TRADERS,"DHA Phase 5, Karachi•3 weeks ago","Rs 47,999",DHA Phase 5, Karachi,3 weeks ago
Dell Core i5 8th generation laptop for sell,"Nowshera Bypass Road, Nowshera•3 days ago","Rs 80,000",Nowshera Bypass Road, Nowshera,3 days ago
Apple imac 2019. . 2017. . 2015. . 2013 core i5 i7 all available,"Gulberg 1, Lahore•2 weeks ago","Rs 190,000",Gulberg 1, Lahore,2 weeks ago
"HP Elitebook 840 G3, core i5","Aziz Bhatti Road, Lahore•6 days ago","Rs 47,000",Aziz Bhatti Road, Lahore,6 days ago
DELL E 5470 CORE I5 6TH GENERATION  8gb DDR4,"Gulshan-e-Habib, Faisalabad•1 hour ago","Rs 42,000",Gulshan-e-Habib, Faisalabad,1 hour ago
HP G3 CORE I5 7TH GENERATION IN BRAND NEW CONDITION,"Millat Chowk, Faisalabad•1 hour ago","Rs 50,000",Millat Chowk, Faisalabad,1 hour ago
Dell laptop core i7 brand new = Ram 32GB Hp i5 excellent,"Abdullah Town, Faisalabad•1 hour ago","Rs 31,000",Abdullah Town, Faisalabad,1 hour ago
Dell laptop core i7 never used all good working - brand hp i5 osm,"Afzal Pura, Gujranwala•1 hour ago","Rs 31,000",Afzal Pura, Gujranwala,1 hour ago
Dell laptop core i7 pin packed good new- hp i5 condition ok box,"Saddar, Rawalpindi•1 hour ago","Rs 31,000",Saddar, Rawalpindi,1 hour ago
Dell laptop core i7 10/10 brand new conditon all ok  hp i5,"Saddar Town, Karachi•1 hour ago","Rs 31,000",Saddar Town, Karachi,1 hour ago
Core i3 5th genration   condition  10by10 brand lenovo,"Goheer Town, Bahawalpur•1 hour ago","Rs 33,000",Goheer Town, Bahawalpur,1 hour ago
Dell laptops core i7 brand new condition perfect (  Hp i5 apple ),"Gulberg, Lahore•2 hours ago","Rs 31,000",Gulberg, Lahore,2 hours ago
